"Crude oil production (including lease condensate), thousand barrels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,281,233,169,215,247,219,239,211,187,158,160,233,219,275,494,472,447,632,869,846,765,973,1158,1172,1340,1596,1586,1644,1657,1612,1648,1662,1557,1500,1453,1344,1257,1335,1206,1100,1170,1255,1214,1237,1357,1394,1390,1664,1700,1664,1607,1634,1754,1850,1798,1663,1406,1304,1273,1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,20,17,14,16,10,11,7,7,6,32,309,398,198,201,769,682,598,820,593,614,743,918,1132,1056,920,786,644,614,601,532,506,485,501,419,417,383,381,367,287,344,346,351,275,311,361,324,192,284,338,268,257,296,371,334,330,296,257,271,210,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,927479,939191,943323,977782,989520,1000743,1056499,1117319,1130276,1148991,1247486,1221211,1299926,1293084,1260748,1220909,1188150,1136985,1072005,1014716,968158,932350,908217,882911,883174,869218,819595,760962,735495,688169,678478,682616,650623,619090,590735,559646,543342,536584,504662,449233,443397,424297,405776,400664,392714,392601,392481,391261,405938,399327,426767,529743,725259,927914,1159332,1260755,1167369,1273558,1608926,1850715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,37594,33118,31029,33435,28575,25298,24112,24048,23504,23295,23370,23630,26570,32656,39363,42301,34304,33113,31368,27728,24978,25860,22440,29534,34689,40792,39172,35788,33018,28415,27604,24467,22720,21821,20661,19988,19401,19317,19199,16253,15636,15252,13771,13097,14744,16673,17927,19535,22039,22942,24663,26305,30210,35016,40909,37136,30528,34438,37117,36695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,2,2,3,3,6,4,1,3,3,1,1,1,0,0,3,3,3,2,2,4,10,13,49,65,32,26,18,17,25,23,16,13,12,12,11,11,13,10,5,8,9,11,25,18,19,26,17,19,16,12,12,11,9,10,14,11,7,7,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,2300,2760,3470,3350,3370,3530,3674,3561,3312,3104,3124,2969,2677,2385,2665,2479,2519,2518,2382,2406,2336,3473,3227,3628,3524,3555,3145,2835,2621,2243,2143,1963,2068,2048,1918,1948,1680,1509,1471,1471,1400,1226,1456,1481,1735,1696,1726,1992,2126,1501,1842,2146,2573,7239,10330,11572,7636,8627,11618,16797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,133910,141937,135847,144407,138752,138314,134470,136312,144250,154945,160345,148114,140011,141914,139997,135943,134149,136472,137385,131890,126362,130563,118300,118303,124269,128514,121337,115267,113985,107715,103856,99928,96810,87667,79528,78884,73365,70176,64782,61126,60726,57433,54801,52970,51940,51770,52974,54116,53045,51531,53890,54515,57808,63482,76119,86470,72667,75706,87945,102104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2574933,2621758,2676189,2752723,2786822,2848514,3027763,3215742,3329042,3371751,3517450,3453914,3455368,3360903,3202585,3056779,2976180,3009265,3178216,3121310,3146365,3128624,3156715,3170999,3249696,3274553,3168252,3047378,2979126,2778771,2684679,2707043,2624631,2499044,2431483,2394268,2366021,2354832,2281921,2146726,2130720,2117521,2096587,2061994,1991394,1892097,1856339,1851973,1829878,1955194,2001805,2068539,2386533,2735355,3208129,3447972,3239655,3420544,4001895,4470526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
