"Coal production, thousand short tons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,33957,32226,34125,36790,37310,39390,43341,46014,48323,51242,55351,51431,50967,45783,45409,46770,46582,47918,41237,43538,39394,37358,36490,33770,39256,35602,36441,35788,34043,33700,35252,30569,30403,28816,29897,26118,28572,29154,28048,22480,22269,25400,21157,22009,23222,24718,22722,22575,26251,27651,26728,28175,26340,25125,22258,17041,12564,9489,8993,7779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,1342,1032,1048,1008,1028,974,843,823,1089,1838,2427,2234,2624,2183,2356,2872,3635,5978,6070,4957,5358,5786,4797,3694,4640,3337,3048,2870,2136,1753,1698,1841,1741,1758,1911,1876,1701,1621,1661,1661,1588,1714,1406,1565,1792,1856,1998,1648,1463,956,1010,1145,1054,1136,904,780,654,561,716,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,84242,80098,82209,89768,93715,95174,94384,91668,87661,89104,90220,81562,83045,83233,87079,90340,92005,90500,86514,94062,93125,83506,79359,69828,77494,71408,71648,70423,70645,70596,70514,65381,68981,59700,62237,61576,67942,76198,81036,76399,74619,74784,68471,63792,66023,67556,66178,65190,65455,59143,58964,59899,55506,55161,61877,50872,45885,49131,49968,50078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,5930,5860,6214,6121,5990,5865,6309,6832,8148,8082,8237,9271,11260,8219,7541,8206,9283,9433,10032,8679,9900,10545,7450,6640,7313,7446,6870,6442,6510,6480,6193,4290,3476,3047,2987,3221,3651,3300,2696,3037,2669,3324,3166,2564,2887,3217,2804,2654,2333,1996,1780,1547,1090,1098,839,897,644,431,232,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,2098,2108,2054,2180,2291,2411,2253,2153,2291,2249,2310,2253,4045,6944,7684,11002,14063,15865,20020,27180,29354,32814,34818,38947,41145,45459,48590,50529,52281,53854,55755,53825,55071,54567,52346,52684,55164,53328,52583,53072,49498,45042,45247,47517,45863,45939,45548,41948,39017,35093,40982,45904,44178,42851,43654,35918,39001,36382,24823,23307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,4955,5159,4297,4360,4720,4992,4635,4175,4316,4657,4733,4626,4802,5500,5858,6961,7967,8581,9141,11971,13236,13809,17029,11768,12323,12780,14269,16508,18163,20102,22058,21945,21339,21847,24399,25167,27507,26683,26075,26373,26656,26966,25304,23069,21746,24521,26018,24307,24365,21718,19351,19648,17016,16977,17934,14419,13970,14326,13619,14405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,27838,30332,29474,30531,31653,34053,35565,36721,36966,35555,35016,30628,34028,33961,34326,35510,39996,37624,31946,37119,41009,41978,39778,35027,40368,40940,41178,44543,45886,43006,46917,41954,43024,39317,37129,34099,35590,35837,33747,32294,32834,33060,30126,31771,31647,27964,29872,25462,24748,21175,22385,22523,18976,17049,15507,14321,13359,13702,13012,12469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,228,191,235,190,68,55,59,59,178,58,37,1134,2634,3270,3913,3743,4109,5057,4708,5072,5140,4635,4164,3891,3872,4438,4601,4449,5170,5039,5001,5143,5251,4739,4893,4868,4565,4495,4638,4101,4270,4624,5827,6232,5653,5266,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,118944,113074,118499,132568,141408,149191,149681,153749,145921,141011,144072,118258,123743,115448,102462,109283,108834,95433,85314,113126,121584,112814,128540,115049,131008,127764,129907,136676,145005,153580,169205,167352,162164,130525,161776,162997,170433,173743,171145,157978,158257,162631,150222,139755,148017,153655,152374,153522,157805,137038,135306,134785,120449,112876,112187,95633,79823,92821,95510,93425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,2024,2529,2569,3124,3101,3260,3670,3588,3829,4602,7222,8052,10928,14886,20703,23804,30836,46028,58328,71523,94887,102969,108361,112214,130914,140714,136826,146850,164014,171558,184249,193854,190172,210129,237092,263822,278440,281881,314409,337119,338900,368749,373161,376270,396493,404319,446742,453568,467644,431107,442522,438673,401442,387924,395665,375773,297218,316454,304188,276912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,436425,422535,441072,479356,506453,529355,549065,567031,558995,573226,614969,563122,602491,598569,610021,654641,684914,697205,670164,781135,829747,823771,838096,781905,895798,883640,890316,918760,950266,980741,1029077,995984,997543,945425,1033507,1032973,1063858,1089933,1117533,1100470,1073611,1127687,1094283,1071752,1112100,1131500,1162751,1146636,1171808,1074921,1084369,1095628,1016458,984842,1000049,896941,728364,774609,756167,706309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
